Date,Open,High,Low,Close,Volume
2023-01-02,129.21,130.05,127.77,129.61,112117500
2023-01-03,129.89,130.90,124.17,125.07,222117500
2023-01-04,126.89,128.66,125.08,126.36,199117500
2023-01-05,127.12,127.77,124.76,125.02,182117500
2023-01-06,126.01,130.29,124.89,129.62,172117500
2023-01-09,130.47,133.41,129.89,130.15,162117500
2023-01-10,130.26,131.26,128.12,130.73,152117500
2023-01-11,131.25,133.51,130.46,133.49,142117500
2023-01-12,133.88,134.26,131.41,133.41,132117500
2023-01-13,132.03,134.92,131.66,134.76,122117500
2023-01-17,134.83,137.29,134.13,135.94,112117500
2023-01-18,136.82,138.61,135.03,135.21,102117500
2023-01-19,134.08,136.25,133.77,135.27,92117500
2023-01-20,135.28,138.02,134.22,137.87,112117500
2023-01-23,138.12,143.32,137.90,141.11,132117500
2023-01-24,140.31,143.16,140.30,142.53,122117500
2023-01-25,140.89,142.43,138.91,141.86,112117500
2023-01-26,143.17,144.25,141.90,143.96,102117500
2-23-01-27,143.16,147.23,143.08,145.93,92117500
2023-01-30,144.96,145.55,142.85,143.00,82117500
2023-01-31,142.70,144.34,142.28,144.29,72117500
2023-02-01,143.97,146.61,141.32,145.43,92117500
2023-02-02,148.90,151.18,148.17,150.82,112117500
2023-02-03,148.03,157.38,147.83,154.50,132117500
2023-02-06,152.58,153.10,150.78,151.73,122117500
2023-02-07,150.64,155.23,150.64,154.65,112117500
2023-02-08,153.88,154.58,151.17,151.92,102117500
2023-02-09,153.78,154.33,150.42,150.87,92117500
2023-02-10,149.46,151.34,149.22,151.01,82117500
2023-02-13,150.95,154.26,150.92,153.85,72117500
2023-02-14,152.12,153.77,150.86,153.20,92117500
2023-02-15,153.11,155.50,152.88,155.33,112117500
2023-02-16,153.51,156.33,153.35,153.71,132117500
2023-02-17,152.35,152.68,150.85,152.55,122117500
2023-02-21,150.20,151.30,148.41,148.48,112117500
2023-02-22,148.87,149.95,148.16,148.91,102117500
2023-02-23,149.26,150.32,147.24,149.39,92117500
2023-02-24,147.11,147.19,145.72,146.71,82117500
2023-02-27,147.71,149.17,147.45,147.92,72117500
2023-02-28,147.05,149.08,146.83,147.41,92117500
2023-03-01,146.83,147.22,145.01,145.31,112117500
2023-03-02,144.38,146.71,143.90,145.91,132117500
2023-03-03,148.04,151.11,147.33,151.03,122117500
2023-03-06,153.79,156.30,153.46,153.83,112117500
2023-03-07,153.69,154.03,151.13,151.60,102117500
2023-03-08,152.81,153.47,151.83,152.87,92117500
2023-03-09,153.56,154.54,150.23,150.59,82117500
2023-03-10,150.21,150.94,147.61,148.50,72117500
